gene,condition,k562_logfc_r,k562_donor_corr_mean,n_degs_mash
DOT1L,Rest,0.4041212123788131,0.1285621035150258,75.0
CSNK2A2,Rest,0.4040886446477313,0.4092285129267215,72.0
BRAT1,Rest,0.4039296444235283,0.7441010956008807,76.0
MED19,Rest,0.4036917488157603,0.5845785199661471,1212.0
INO80,Rest,0.40342363050341,0.3187771961393019,169.0
EIF4H,Rest,0.4033838901788407,-0.1112940781229257,67.0
FOXM1,Rest,0.4029399881897899,,40.0
TMCO1,Rest,0.4028372538439406,,26.0
DR1,Rest,0.4026257009103003,0.5441625342513567,145.0
DNAJA1,Rest,0.4024585648140617,,13.0
WHAMM,Rest,0.4021621825205353,,6.0
CHMP4B,Rest,0.4015572021038237,,6.0
PGRMC2,Rest,0.4015021849877501,,5.0
OSGEP,Rest,0.4014402401667286,0.086715131748516,39.0
QRSL1,Rest,0.4013545193583731,,97.0
COMMD8,Rest,0.4013522872885012,0.4789076760164462,39.0
SMAGP,Rest,0.4012322778267208,0.2152201051066475,68.0
MMGT1,Rest,0.4010824445072283,0.6564695136180277,111.0
PPHLN1,Rest,0.4008619546928296,0.7331308605854335,234.0
BBX,Rest,0.4006627504395755,,51.0
GTF2H3,Rest,0.4006005007786684,,4.0
ABHD16A,Rest,0.4005786962026723,,12.0
ARPC2,Rest,0.4002480817072145,0.1862983668477483,174.0
CABIN1,Rest,0.399952682088084,,93.0
TRAPPC12,Rest,0.3996612311427024,,11.0
WDR82,Rest,0.3996553534529712,0.7520233611230758,581.0
SBNO1,Rest,0.3993745333280299,0.4012076334011283,72.0
METTL1,Rest,0.3989885219273868,0.3899873835596788,329.0
SMIM15,Rest,0.3984514776783973,,35.0
FHL3,Rest,0.3981039903042373,,7.0
NDUFB11,Rest,0.3980697222027103,0.7926388420288517,137.0
ATP1B3,Rest,0.3978783944454531,0.431788855573129,96.0
OPA1,Rest,0.3977737444789407,,14.0
DHX9,Rest,0.3977237423485326,0.0612661253205958,72.0
POGK,Rest,0.3973950557697026,0.6730518250491587,35.0
SUN2,Rest,0.3973376370502178,,12.0
COMMD4,Rest,0.3970997649096338,0.4188519813413918,31.0
OXA1L,Rest,0.3969917860838369,0.5642579882077114,236.0
SAMD1,Rest,0.3966094343741428,0.78307415652929,283.0
CTU2,Rest,0.3964588830306662,0.6367737808085635,232.0
NEDD4L,Rest,0.3960608691896536,,14.0
LTBP4,Rest,0.3956790172557344,0.4681953521553914,17.0
RWDD1,Rest,0.3954936510066099,,14.0
PDE3B,Rest,0.3950954238314407,,31.0
LARS2,Rest,0.3940218485981422,0.3667199467997836,167.0
C19orf53,Rest,0.3937540032369089,,11.0
PSENEN,Rest,0.3931392386898399,,15.0
ATAD5,Rest,0.3931259172434773,0.733112464468984,1707.0
