gene,condition,aging_coef_rank,is_known_aging_reg
ANP32B,Rest,0.1934965877157768,False
ANP32B,Stim48hr,0.1656734207389749,False
ANP32B,Stim8hr,0.1943092474728566,False
ANXA6,Stim48hr,0.166865315852205,False
AP1M1,Rest,0.0357286230429546,False
AP1M1,Stim48hr,0.2292411601112435,False
AP1M1,Stim8hr,0.6686634219393486,False
AP1S2,Rest,0.5889201124046568,False
AP1S2,Stim8hr,0.6207412953949831,False
AP2A1,Stim48hr,0.1422328168454509,False
AP2B1,Stim48hr,0.0131108462455303,False
AP2S1,Rest,0.1497390606182256,False
AP2S1,Stim48hr,0.4509336511720302,False
AP2S1,Stim8hr,0.3114938225383751,False
AP3D1,Rest,0.4596547571256523,False
AP3S1,Rest,0.3163388197511039,False
AP4M1,Rest,0.6515455640305098,False
AP4M1,Stim8hr,0.2901535005615874,False
APAF1,Rest,0.4704937775993577,False
APBB1IP,Rest,0.7193898032918506,False
APBB1IP,Stim48hr,0.8641239570917759,False
APBB1IP,Stim8hr,0.8768251591164358,False
APC,Rest,0.6643918105178643,False
APC,Stim8hr,0.9183826282291276,False
APEX1,Rest,0.5431553592934565,False
APEX1,Stim48hr,0.4938418752483114,False
APEX1,Stim8hr,0.842755522276301,False
APEX2,Rest,0.4684865515857085,False
APEX2,Stim8hr,0.5215275177836016,False
APH1A,Stim48hr,0.2745331744139849,False
APH1A,Stim8hr,0.4889554473979783,False
API5,Stim8hr,0.3373268438786971,False
APMAP,Stim48hr,0.3754469606674612,False
APMAP,Stim8hr,0.4417821040808686,False
APOBEC3A,Rest,0.1722199919710959,False
APOBEC3B,Rest,0.723404255319149,False
APOBEC3B,Stim48hr,0.8228049264998013,False
APOBEC3B,Stim8hr,0.6604268064395358,False
APOBEC3G,Rest,0.9144921718185468,False
APPBP2,Rest,0.8807707747892413,False
APPBP2,Stim48hr,0.6940802542709575,False
APPBP2,Stim8hr,0.5058030700112317,False
APPL2,Stim8hr,0.0550355672032946,False
ARF1,Rest,0.4094741067844239,False
ARF1,Stim8hr,0.5877948333957319,False
ARF4,Stim48hr,0.915772745331744,False
ARF4,Stim8hr,0.6387120928491202,False
ARFGEF1,Rest,0.4741067844239261,False
ARFGEF1,Stim8hr,0.09771621115687,False
ARFIP2,Stim8hr,0.3410707600149756,False
ARFRP1,Stim8hr,0.982029202545863,False
ARG1,Stim8hr,0.6791463871209285,False
ARGLU1,Rest,0.3468486551585708,False
ARGLU1,Stim48hr,0.1601112435439014,False
ARGLU1,Stim8hr,0.7147135904155747,False
ARHGAP11A,Rest,0.3456443195503814,False
ARHGAP11A,Stim8hr,0.5630849868962935,False
ARHGAP15,Stim8hr,0.311868214152003,False
ARHGAP27,Stim48hr,0.0170838299562971,False
ARHGAP27,Stim8hr,0.0950954698614751,False
ARHGAP30,Rest,0.7097551184263348,False
ARHGAP30,Stim48hr,0.1982518871672626,False
ARHGAP30,Stim8hr,0.4556345937850992,False
ARHGAP45,Rest,0.4937775993576876,False
ARHGAP45,Stim8hr,0.2411081991763384,False
ARHGEF18,Stim8hr,0.5847997004867092,False
ARHGEF5,Stim8hr,0.8640958442530887,False
ARID1A,Rest,0.1798474508229626,False
ARID1A,Stim48hr,0.9960270162892332,False
ARID1A,Stim8hr,0.3575439910146012,False
ARID2,Rest,0.6880770774789241,False
ARID2,Stim48hr,0.8466428287644021,False
ARID2,Stim8hr,0.3826282291276675,False
ARID3A,Stim48hr,0.934445768772348,False
ARID3B,Stim48hr,0.699642431466031,False
ARID4A,Stim48hr,0.6249503377036154,False
ARID4B,Stim48hr,0.9626539531187922,False
ARID4B,Stim8hr,0.3650318232871584,False
ARID5A,Rest,0.6286631874749097,False
ARID5A,Stim48hr,0.5657528804131903,False
ARID5B,Stim48hr,0.878823996821613,False
ARID5B,Stim8hr,0.6922500935979035,False
ARIH1,Rest,0.2705740666399036,False
ARIH1,Stim48hr,0.5303933253873659,False
ARIH1,Stim8hr,0.4320479221265443,False
ARIH2,Stim48hr,0.4656336909018673,False
ARIH2,Stim8hr,0.3904904530138525,False
ARL1,Stim48hr,0.8915375446960667,False
ARL1,Stim8hr,0.7663796330962186,False
ARL14EP,Rest,0.0433560818948213,False
ARL14EP,Stim48hr,0.2058005562177195,False
ARL4D,Rest,0.7338418305901244,False
ARL4D,Stim8hr,0.6319730438038188,False
ARL5B,Rest,0.6467282215977519,False
ARL5B,Stim48hr,0.935637663885578,False
ARL5B,Stim8hr,0.7173343317109697,False
ARL6IP1,Stim48hr,0.2375844259038537,False
ARL8B,Rest,0.3071055800883179,False
ARL8B,Stim48hr,0.3182359952324195,False
ARL8B,Stim8hr,0.030700112317484,False
ARMC7,Stim48hr,0.058005562177195,False
ARMC8,Rest,0.6876756322761943,False
ARMC8,Stim48hr,0.2649980135081446,False
ARMC8,Stim8hr,0.7817296892549607,False
ARMCX3,Stim8hr,0.9210033695245228,False
ARMCX6,Stim8hr,0.752527143391988,False
ARMH3,Rest,0.0297069450020072,False
ARMH3,Stim48hr,0.8315454906634883,False
ARNT,Rest,0.123243677238057,False
ARNT,Stim48hr,0.3055224473579658,False
ARNT,Stim8hr,0.7712467240733808,False
ARPC1B,Stim48hr,0.755264203416766,False
ARPC1B,Stim8hr,0.7570198427555223,False
ARPC2,Rest,0.755921316740265,False
ARPC2,Stim48hr,0.4644417957886372,False
ARPC2,Stim8hr,0.9977536503182328,False
ARPC3,Rest,0.0887193898032918,False
ARPC3,Stim48hr,0.524036551450139,False
ARPC3,Stim8hr,0.9341070760014976,False
ARPC4-TTLL3,Rest,0.5110397430750703,False
ARPC4-TTLL3,Stim48hr,0.3206197854588796,False
ARPC4-TTLL3,Stim8hr,0.0947210782478472,False
ARRB1,Stim48hr,0.7139451728247914,False
ARRB2,Rest,0.9108791649939784,False
ARRB2,Stim48hr,0.8347238776321018,False
ARRDC4,Rest,0.7486953030911281,False
ARRDC4,Stim48hr,0.6321017083829956,False
ARRDC4,Stim8hr,0.5915387495320105,False
ARSK,Rest,0.2380570052187876,False
ARSK,Stim48hr,0.3877632101708383,False
ARSK,Stim8hr,0.1785847997004867,False
ASAH2B,Rest,0.5343235648334003,False
ASAH2B,Stim48hr,0.0683353198251887,False
ASAH2B,Stim8hr,0.4758517409210033,False
ASAP2,Stim48hr,0.8589590782677791,False
ASB13,Rest,0.2613408269771176,False
ASB13,Stim8hr,0.1681018345189067,False
ASB6,Rest,0.1814532316338819,False
ASB6,Stim8hr,0.0138524897042306,False
ASCC2,Rest,0.7587314331593737,False
ASCC2,Stim48hr,0.4100119189511323,False
ASH1L,Rest,0.4375752709755118,False
ASH2L,Stim48hr,0.6762018275725069,False
ASH2L,Stim8hr,0.3702733058779483,False
ASXL1,Rest,0.9016459253311924,False
ASXL1,Stim8hr,0.8655934107076001,False
ASXL2,Rest,0.895222802087515,False
ASXL2,Stim8hr,0.6634219393485586,False
ATAD3A,Stim48hr,0.7683750496622964,False
ATAD5,Rest,0.2007226013649136,False
ATAD5,Stim48hr,0.2840683353198251,False
ATAD5,Stim8hr,0.7787345563459378,False
ATF3,Stim48hr,0.2868494239173619,False
ATF4,Rest,0.9269369731031716,False
ATF4,Stim48hr,0.9396106475963448,False
ATF4,Stim8hr,0.1770872332459752,False
ATF6B,Stim48hr,0.8450536352800954,False
ATF7IP,Stim48hr,0.1795788637266587,False
ATF7IP2,Rest,0.4544359694901645,False
ATF7IP2,Stim48hr,0.2359952324195471,False
ATF7IP2,Stim8hr,0.5739423436915013,False
ATG101,Stim48hr,0.3416765991259435,False
ATG12,Rest,0.3500602167804095,False
ATG12,Stim8hr,0.4181954324223137,False
ATG14,Rest,0.3460457647531112,False
ATG14,Stim48hr,0.700834326579261,False
ATG3,Rest,0.6812525090325171,False
