gene,condition,guide_correlation,correlation_ceiling,n_signif_union
DOLPP1,Rest,0.9313092030674334,0.9446464950872496,18
DOP1A,Rest,0.6533213844329586,0.8976567141276659,64
DPH2,Rest,0.5243151057008119,0.9405195157725512,4
DPH5,Rest,0.8942855109761573,0.9565339548825372,28
DPM1,Rest,0.7624273122386974,0.8772219714317784,48
DR1,Rest,0.9169410077557302,0.965469592869255,4
DRAP1,Rest,0.0398945831635908,0.8984548187042873,111
DTX4,Rest,-0.2527046160036674,,56
EARS2,Rest,0.8180124858098483,0.7110397148399707,23
EBF3,Rest,-0.2714596625005712,0.458394621615144,262
ECHS1,Rest,0.6020674376853123,0.9180551936808506,40
EDC3,Rest,0.1756150791685099,,355
EDRF1,Rest,0.4803565650758157,0.7849881350792643,44
EHMT1,Rest,0.7265529305553353,0.6228719636391256,107
EHMT2,Rest,0.8623618858594109,0.8772957319134149,315
EID2,Rest,-0.1661060255759101,0.7821177460395505,37
EIF1,Rest,0.6152489479139617,0.911993767893023,41
EIF3H,Rest,0.6578484218405302,0.8203822109432288,462
EIF3K,Rest,0.9411948424234468,0.9655953264517444,19
EIF3L,Rest,0.5416282419195797,0.9120627116979528,19
EIF4B,Rest,0.2953194664839276,0.3868108260912018,13
EIF4G2,Rest,0.5190066798720387,0.814613368874806,1311
EIF4H,Rest,-0.4067628966127506,0.3565843198154808,187
EIPR1,Rest,0.0549260563011556,0.7855583056654102,121
ELAVL1,Rest,0.8737996539505771,0.8891196251310967,259
ELOB,Rest,0.5241247364715793,0.0949853020025828,671
ELOC,Rest,0.6971709254513412,0.8272387569566181,25
ELOF1,Rest,0.4745629732674593,0.7529868911669311,1698
ELP1,Rest,0.542093232842891,0.8673777673718315,121
ELP2,Rest,0.7612406470286636,0.8534013649428445,273
ELP3,Rest,0.8855434962456842,0.8904314905985246,116
ELP4,Rest,0.5106467544208876,0.8162081951852004,17
ELP5,Rest,0.7458279217498274,0.8854195843255969,134
EMC4,Rest,0.9879154156546308,0.9893502240056028,3
EMC9,Rest,-0.1185124946012804,0.8259044870458603,45
EML2,Rest,-0.0421791800382356,0.8630601076832861,77
EMX1,Rest,0.4246643968614417,,47
ENDOG,Rest,-0.0439332125472085,0.2617217685234898,246
EP300,Rest,0.7953675137682611,,9
EPB41L3,Rest,0.5536083720013276,0.498770793028496,2437
EPC1,Rest,0.6146382372451987,0.5844341925854076,29
ERCC1,Rest,0.5057920244763437,0.5605075213507721,216
ERCC4,Rest,0.2748753071409352,0.7276910990822265,52
ERGIC3,Rest,0.226007181050919,0.7746491964384692,18
ERN1,Rest,0.7681816512335121,0.7980272478476979,52
ETNK1,Rest,0.7822255657858332,0.8051793780728976,38
EWSR1,Rest,0.7469890437059878,0.8251584688579432,1084
EXOC1,Rest,0.1219836488993012,,31
EXT2,Rest,0.4139149757703482,,10
FAM3C,Rest,0.4375091325694259,0.7958275190473377,27
FAM83F,Rest,0.1490330002799619,,1139
FAM89B,Rest,0.6042527580608374,0.8264685004631929,1127
FAM98B,Rest,0.8013820474037526,0.9464390435254332,41
FAM110A,Rest,0.4337776342188954,0.5558287996848557,176
FAM120A,Rest,0.400749323146512,0.8431746597382642,52
FAM122A,Rest,0.4105723645814659,0.5471928646871159,6
FAM131A,Rest,-0.1019484023757885,0.924499163231907,14
FAM161A,Rest,0.4061233348611939,0.5169023798374484,81
FAM208A,Rest,0.8330562912342495,0.9452784062137296,53
FAM220A,Rest,-0.1199017226674612,0.2224780752730158,20
FANCB,Rest,0.1842381546814315,0.9383588776290768,18
FANCD2,Rest,0.3313347672771481,0.6162931652950296,30
FANCF,Rest,0.8726159468995915,0.9082377527617986,9
FBRS,Rest,0.5352508271696661,0.5531201178217524,4
FBXL3,Rest,0.1377474717218715,0.9184476352189754,38
FBXL15,Rest,-0.1995636546726517,,1037
FBXO11,Rest,0.9251709883454404,0.940461026927752,5
FBXO28,Rest,0.2936201698405523,0.698755124052795,257
FBXO38,Rest,0.1140806025499879,0.3614518941986658,482
FBXO42,Rest,0.9131312728941348,0.9634810580465512,7
FBXW7,Rest,0.4288784369893006,0.9204088071485312,17
FGFR1OP,Rest,0.7674993133543927,0.8018877451331442,743
FGFR1OP2,Rest,0.7591049737973621,0.931348208466755,28
FIGNL1,Rest,0.4213992513005514,0.9444916123263852,7
FLAD1,Rest,-0.2032053966198271,0.7393470510647068,44
FLT1,Rest,0.4459173109789118,,821
FNBP4,Rest,0.2901287859359365,0.7897229120203056,200
FOSL2,Rest,0.8603166821222811,0.9764058709432514,3
FOXN2,Rest,0.7364497203956125,0.8652119629634508,108
FOXO1,Rest,0.5888066183486911,0.7581450211955837,651
FOXS1,Rest,0.8795387271353128,0.2610710893392242,48
FRA10AC1,Rest,0.9539466119187632,0.9406150156729964,9
FUBP1,Rest,0.6333372176345591,0.9068890227347376,71
GABPB1,Rest,0.5807886338859045,0.8504683390270842,250
GALNT6,Rest,-0.9128902885765948,0.3977532337916112,6
GAREM1,Rest,0.2058769110353163,0.5313218867354713,56
GATA3,Rest,0.8189334533764884,0.8974742470767967,152
GATAD2B,Rest,0.4690559540216457,0.911711692654522,47
GBA,Rest,-0.1274870163052515,,514
GCSH,Rest,0.2770028920755724,0.770867818578636,32
GDAP2,Rest,0.682585320922457,0.7875994111745399,127
GDF9,Rest,0.4243935425064563,0.6045562430943527,80
GEN1,Rest,0.672858798578036,0.7855891090846934,621
GGA3,Rest,0.8008741622236615,0.8155970262614922,246
GID8,Rest,0.6648717987995344,0.9156332672433928,15
GLIPR2,Rest,0.3889017236887956,0.5785342453393085,151
GMEB1,Rest,0.7857212197746146,0.8509407545222365,87
GNA13,Rest,0.0817812140800953,0.805602287115303,1413
GNAS,Rest,0.5586912042042148,0.7664802398571403,5
GNAZ,Rest,-0.1116304761538374,0.6220994990863066,180
GNB1L,Rest,0.3283362104992837,0.5568684215478026,61
GNG11,Rest,-0.007948797067659,0.7599404559607134,11
GNLY,Rest,0.7033281852986583,0.7378925383584307,30
GNS,Rest,0.3370101286495764,0.640723771451998,253
GP9,Rest,-0.6015205961873431,0.6523553433185241,26
GPAA1,Rest,0.7773648904932272,0.9777376463500248,10
GPATCH3,Rest,-0.1564645697763634,,32
GPATCH8,Rest,0.6941804010057178,0.9632857501426636,25
GPI,Rest,0.8704421976341019,0.970287940642106,5
GPR15,Rest,0.4027312370079676,0.7264817269810233,29
GPR82,Rest,-0.20590069568097,,13
GPR137,Rest,-0.1346565815335314,,30
GPS2,Rest,0.4234933109922015,0.2701258318218786,211
GRAP,Rest,0.422803435363506,0.939072395995344,4
GSS,Rest,0.3735983585799703,0.803042487961746,66
GSTCD,Rest,0.740645711073166,0.8670643871230448,20
GYPC,Rest,0.0610903681388958,0.1711743690686272,51
GZF1,Rest,-0.1106600701095632,0.8191357808142353,148
H2AFZ,Rest,0.0287330573341757,0.7796304080875441,157
HCCS,Rest,0.5982843425468453,0.7998853375359661,318
HCN2,Rest,-0.0407751620812491,0.900525695445262,25
HDAC1,Rest,0.7689370161364844,0.9854729422338144,6
HDAC7,Rest,0.211608550449939,0.9007422374758172,15
HDHD3,Rest,0.1540707209394605,0.3914879594103044,31
HEATR5B,Rest,0.7056253788693012,0.928025800394381,16
HEXDC,Rest,0.3300657871204251,0.8971205925196121,57
HEXIM1,Rest,0.4070133964173827,0.8898688501161273,17
HIBADH,Rest,-0.2315359092176677,,145
HIP1R,Rest,0.1394730776592335,0.5009132944174365,37
HIST1H2BI,Rest,-0.0740865767756297,0.8405921809567041,66
HMBS,Rest,-0.1901025103829006,,285
HNRNPA1,Rest,0.8420628737501318,0.8815119302844061,49
HNRNPA2B1,Rest,0.492020200897507,0.951183978423089,12
HNRNPD,Rest,0.826812956992009,0.8201725587637758,10
HNRNPH1,Rest,0.8734248493734216,0.6775554072572356,5
HOXB2,Rest,0.0037901520342705,,426
HP1BP3,Rest,0.1789972172186262,0.9134549617817416,15
HPRT1,Rest,0.0369351066265947,0.5442402484566538,37
HSD11B2,Rest,0.573012280884499,0.8510020646446688,259
HSD17B10,Rest,0.0300235069745242,0.8946964308356947,28
HSD17B13,Rest,0.4865094859076563,0.8590051070570555,29
HSPA8,Rest,0.3000877786247334,0.7392708471665843,19
HUWE1,Rest,0.8601593183767554,0.7466799835382756,142
HYKK,Rest,0.3176780751044393,0.7703147444088995,88
IFFO2,Rest,-0.1907671844352371,0.6431911855491098,24
IFI30,Rest,-0.2397313351666972,0.5087376513230287,69
IFNAR1,Rest,0.7363630719829976,0.7567716492444677,10
IFNLR1,Rest,0.374285570896806,0.6914213457939743,45
IL9,Rest,-0.2473159358207693,,1363
IL12RB2,Rest,0.1046920249071673,0.4506078134763336,66
IL23R,Rest,0.351742600002111,,865
ILVBL,Rest,-0.2102812034062928,0.8138051706418175,18
IMMP1L,Rest,0.4695189512270689,0.9022122086283046,47
IMPA2,Rest,0.7578560281156653,0.7384426022340694,423
INIP,Rest,-0.0332872847051309,0.6016999372568083,277
INO80B,Rest,0.2728341697149404,0.7511648525354421,64
INO80C,Rest,0.8859180291717238,0.952083153078566,30
INPP5F,Rest,0.3614226226220236,0.9178596943313578,13
INSR,Rest,0.4190507807708289,0.52619036007414,772
INTS6,Rest,0.2749225993674413,0.8802121951380175,10
INTS10,Rest,0.7648125401860446,0.8732157848578218,176
INTS12,Rest,0.7491295255750194,0.898849008542315,109
INTS13,Rest,0.5358495142205284,0.8574890457447272,192
INTS14,Rest,0.3822749791724896,0.7456061623825728,312
IRF2,Rest,0.5011436562632026,0.8718202292721849,40
IRF2BP1,Rest,-0.0524880319906897,,318
IRF9,Rest,0.8395191589129325,0.8765430530502254,24
ISCA1,Rest,0.1840627440647727,0.7462358479130674,29
ISCA2,Rest,0.7179661548251147,0.864980772083027,35
ITGB2,Rest,0.8752245256284449,0.9729496333276846,3
ITM2B,Rest,0.8347835171757567,0.9118605312204664,32
ITPA,Rest,0.6696560714552545,0.9422528930015964,7
ITPK1,Rest,0.2032344293729504,0.8573742659255016,37
JOSD2,Rest,0.5927008379524873,0.3223893373928514,44
JUNB,Rest,0.9546712497383768,0.9417119819332722,3
JUND,Rest,0.117463646517385,0.7548012003948452,10
KAT14,Rest,0.7502101250371451,0.8094835336218813,190
KBTBD2,Rest,0.1740480231744385,,79
KCTD21,Rest,0.1545608156855109,0.5876335750053698,59
KDELR2,Rest,0.6718439431453638,0.7853806326735033,6
KDM1A,Rest,0.799283910407491,0.854915015957478,806
KDM2A,Rest,0.887720667357963,0.7945312701856659,16
KDM3B,Rest,0.8229553375822474,0.9484439230360348,12
KDM4A,Rest,0.7621551042570558,0.4499184738120645,8
KDM5C,Rest,0.95065973557092,0.976107166196438,6
KDM6A,Rest,0.3312630630300923,0.8306630038242668,21
KDM8,Rest,-0.3503654299143951,0.5915867310311018,27
KIAA0556,Rest,0.4968212897279386,0.9236325107606403,57
KIAA0586,Rest,0.3727039982779726,0.5536955896569824,51
KIAA1551,Rest,0.3949097148412478,0.8455889851330258,16
KIFAP3,Rest,-0.0636537812956795,0.5283463112183429,1468
KLF2,Rest,0.7270776545967137,0.8050252562950191,279
KLF10,Rest,0.097776226272671,0.8178600941133345,45
KLF13,Rest,0.5931531070800955,0.6890407330106667,60
KLF15,Rest,-0.2520616261212255,,935
KLHDC10,Rest,-0.2105707259302995,0.6741738742915733,63
KMT2C,Rest,0.5013918938678149,0.5077197945528944,90
KMT2E,Rest,0.7368668694018696,0.9071145469781025,21
KMT5B,Rest,0.8376190483421815,0.8678064053845322,44
KPNA1,Rest,0.0311713372746202,,675
KRBA2,Rest,0.4742503581670405,0.6805370476625723,261
KRCC1,Rest,-0.0088791279669888,0.519831654505237,163
KRT72,Rest,-0.3728856383299072,0.8490903456807787,41
KTI12,Rest,0.8080620383519441,0.8559127026782394,133
L2HGDH,Rest,0.6542429029668473,0.8966526044851908,159
L3MBTL2,Rest,0.8953668082254403,0.8889623618762008,43
L3MBTL3,Rest,0.9021397690460496,0.8487296770591396,13
LAMP1,Rest,0.3155621003673503,0.6478591133899128,149
LAMTOR3,Rest,0.2671413263998433,0.8710650158967451,39
LARS2,Rest,0.7563350718127096,0.8022709766288618,46
LEO1,Rest,0.7463857564501035,0.8583017052180623,1645
LIN37,Rest,0.7714830955651808,0.878115606313865,25
LMBR1L,Rest,0.3601204408025617,0.7142921293521113,37
LMNA,Rest,0.6782068460937382,0.8782600587611498,4
LMTK2,Rest,0.5455323849274493,0.8611504210120046,10
LOXL4,Rest,-0.1019164657078246,,314
LPCAT3,Rest,0.4027680827507979,0.1804528160376896,294
LRP2BP,Rest,0.0644866544001677,,782
LRP6,Rest,0.1500792139662518,,1325
LRPPRC,Rest,0.9373180003148054,0.9826229554083072,18
LRRC8B,Rest,0.4110069415004005,0.8052446482633004,43
LRRC29,Rest,-0.563752540418311,0.7933208479472923,8
LSM12,Rest,0.3724124281366294,0.8484424144302193,55
LSM14A,Rest,0.6279818421499637,0.9637032733356554,5
LTB4R,Rest,0.1349563288435095,,90
LTBP4,Rest,0.1922912671693598,0.8329542353452514,33
LYRM2,Rest,0.2570853055468798,0.8197166344382064,19
MAEA,Rest,0.5578829689977844,0.7781462685423537,406
MAGEH1,Rest,0.7024201156858795,0.941932412924944,4
MAN2A1,Rest,0.7441652201851839,0.9236935971779104,7
MANF,Rest,0.9464185075634663,0.964681025937873,22
MAP1LC3B,Rest,-0.3101875551187719,0.6168667798676419,462
MAP3K13,Rest,0.8738044427082865,0.7284564363075894,19
MAU2,Rest,0.8175720482992802,0.7973181522591939,49
MAX,Rest,0.1309114186703106,0.4114024770959711,32
MBD3,Rest,0.5807614536177386,0.8874798257877379,15
MCM8,Rest,0.579512638796522,0.9058821683167458,21
MCTS1,Rest,0.7533817865517203,0.8592941428756882,283
MED12,Rest,0.7786355479438286,0.8523020076358072,1619
MED15,Rest,0.8421596538368974,0.8050829451947041,886
MED19,Rest,0.311679966683626,0.768403538946839,1950
MED24,Rest,0.8013513649743694,0.915865210646778,140
METAP2,Rest,0.5658624623978022,0.8117732158320864,373
METRN,Rest,-0.870149208763985,0.0780591057552824,9
METTL1,Rest,0.3675192980884439,0.7814135135709412,103
METTL23,Rest,0.8244052531466766,0.9718918844053304,5
MGA,Rest,0.843843179931558,0.880209824573509,7
MIA2,Rest,0.9951714337379508,0.982609680012374,6
MIEN1,Rest,0.492263620531698,0.9675752589930404,15
MIOS,Rest,0.0076908942224081,0.6970280068885961,603
MIPEP,Rest,0.9902518724731731,0.9571883548312544,5
MLKL,Rest,0.682749887541257,0.9349295784945912,9
MLST8,Rest,0.6281888134453124,0.9074004122191566,25
MMAB,Rest,0.1809487637624748,0.0677661111234967,259
MMP9,Rest,-0.4266169963558628,,155
MMP28,Rest,0.2970612995467805,,4
MNT,Rest,-0.0076831273505594,,61
MOSPD2,Rest,-0.0124867547983529,,1025
MPI,Rest,0.5695650061995335,0.72407955805857,90
MRC2,Rest,-0.0880436758882431,,217
