gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
FBXL17,Stim48hr,0.4808900523560209,0.7819371727748691,False
FBXL17,Stim8hr,0.8525216505348956,0.9544065206316862,False
FBXL19,Rest,0.90747980192859,0.3302058900182434,False
FBXL19,Stim48hr,0.8429319371727748,0.2212041884816754,False
FBXL19,Stim8hr,0.6551197147223637,0.3120224146714213,False
FBXL20,Rest,0.4305446963773781,0.7372947615324472,False
FBXL20,Stim48hr,0.2479057591623036,0.2767015706806283,False
FBXL20,Stim8hr,0.9836984207845136,0.0096790626591951,False
FBXL3,Rest,0.9317174876205369,0.8146989835809226,False
FBXL3,Stim48hr,0.543717277486911,0.3801047120418848,False
FBXL3,Stim8hr,0.8341823739174733,0.4842078451349974,False
FBXL6,Rest,0.5274954391451655,0.0573364607766484,False
FBXL6,Stim48hr,0.9803664921465968,0.2282722513089005,False
FBXL6,Stim8hr,0.911614875191034,0.0626591951095262,False
FBXO11,Rest,0.7638780297107115,0.0461297888975762,False
FBXO11,Stim48hr,0.9332460732984292,0.0036649214659685,False
FBXO11,Stim8hr,0.7506367804381049,0.0173204279164544,False
FBXO2,Rest,0.54782382069325,0.2113630440448267,False
FBXO2,Stim48hr,0.0824607329842932,0.5405759162303665,False
FBXO2,Stim8hr,0.5040753948038716,0.1240448293428425,False
FBXO21,Rest,0.7180088610893928,0.0072973677352097,False
FBXO21,Stim48hr,0.6992146596858638,0.7539267015706806,False
FBXO21,Stim8hr,0.6780438104941416,0.075904228222109,False
FBXO28,Rest,0.7891581965076883,0.1714881417774303,False
FBXO28,Stim48hr,0.999214659685864,0.4955497382198953,False
FBXO28,Stim8hr,0.9755476311767702,0.2975038206826286,False
FBXO3,Rest,0.5011727912431587,0.3588741204065676,False
FBXO3,Stim48hr,0.4172774869109947,0.4738219895287958,False
FBXO3,Stim8hr,0.9536423841059604,0.1884870096790626,False
FBXO32,Rest,0.6194943966640605,0.997393797237425,False
FBXO32,Stim48hr,0.4060209424083769,0.9890052356020942,False
FBXO32,Stim8hr,0.8678043810494142,0.999745287824758,False
