cluster,manual_annotation,best_described_by,condition_specificity,cluster_size,cluster_gene_size,intracluster_corr,rest_count,stim8hr_count,stim48hr_count,n_member_gene_conditions,n_member_genes,mean_regulator_score,top_members,best_autoimmune_or,min_autoimmune_fdr,is_autoimmune_enriched
106.0,unknown,"Heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process, and Heparan sulfate 6-O-sulfotransferase activity",Rest,70,70,0.279026274,70,0,0,70,70,5.357142857142857,B4GALT7;CAMSAP1;EXT2;NDST2;PAPSS1;SEC62;TIPARP;WDR44,1.12864359219222,0.586416317542133,False
50.0,Arp2/3 complex,Arp2/3 protein complex,across_condition,8,8,0.14136618,8,0,0,8,8,5.5,ACTR2;ARPC2;ARPC3;ISCA1;PPP1R7;SCAF8;SENP1;TMEM214,1.3174084047922283,0.6460957820344201,False
28.0,ribosomal and mitochrondrial function,Organellar ribosome,across_condition,49,49,0.289242197,49,0,0,49,49,4.36734693877551,ATXN10;BCS1L;COA3;HCCS;KAT14;KIFAP3;LRPPRC;UQCRB,1.1873243508645963,0.654343408698985,False
9.0,mediator-SAGA,SAGA complex,across_condition,34,34,0.364603722,0,0,34,34,34,5.0588235294117645,CCNC;MED15;SGF29;SUPT20H;SUPT7L;TADA1;TADA2B;TAF6L,0.9961419318178818,0.6708239888783996,False
32.0,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition,13,11,0.28176607,1,11,1,13,11,5.076923076923077,FOXK1;LAMTOR2;LAMTOR3;LAMTOR4;RPTOR;RRAGA;TMEM214;WDR59,1.0614427641155346,0.6784244919274782,False
58.0,ribosomal and mitochrondrial function,"Organellar ribosome, and Regulation of mitochondrial gene expression",across_condition,174,174,0.376866249,0,0,174,174,174,4.7988505747126435,ACAD9;HEXIM1;NDUFB9;NFU1;PMVK;POLG;RBM18;TFAM,1.243293030673884,0.7383578429223756,False
63.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,7,7,0.235709735,0,0,7,7,7,4.857142857142857,ATAD5;CCND3;IST1;NAA30;NEIL1;PPIL1;RPUSD1,1.259944015395877,0.7821461794915059,False
109.0,unknown,SCAR complex,Stim48hr,15,15,0.271798711,0,0,15,15,15,4.8,ANXA6;ATP2A2;CUL3;DCLRE1A;DOCK2;E2F1;NCKAP1L;ZHX3,1.101437817250222,0.8112205987090273,False
36.0,citrate metabolism,"Citrate cycle (TCA cycle), and Pyruvate metabolism",Stim48hr,8,8,0.347846123,0,0,8,8,8,5.25,ACLY;CS;DLAT;MDH2;PDHA1;PDHB;SLC25A1;STYXL1,0.9815172487392618,0.8305885799934677,False
48.0,tRNA processing,tRNA-splicing ligase complex,across_condition,13,13,0.304322524,13,0,0,13,13,4.769230769230769,ADAT3;LAMTOR2;NDUFA8;NUP188;PGS1;PMM2;RTRAF;TRMT61A,1.12864359219222,0.8493724140283511,False
15.0,ribosomal and mitochrondrial function,Organellar ribosome,across_condition,88,88,0.368599965,0,88,0,88,88,4.5,BCS1L;CTPS1;NSUN4;PDSS2;PNPT1;SSBP1;TARS2;TFAM,1.101437817250222,0.8523008098170832,False
7.0,nonsense-mediated decay,"Nonsense-mediated mRNA decay, and ASAP complex",across_condition,25,10,0.332353988,10,9,6,25,10,5.8,CASC3;SMG1;SMG7;SMG8;SMG9;SRR;TMEM79;UPF2,0.810941861743171,0.8603020761421685,False
39.0,unknown,"mRNA cleavage factor complex, and CID domain",across_condition,28,12,0.119288071,9,10,9,28,12,5.75,CDKN2AIP;CTDSPL2;DNAAF2;DOP1A;RBM12;TSTD2;UBE3D;WDR82,0.9675497258064836,0.8786258086168809,False
42.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,16,13,0.151911008,12,3,1,16,13,4.375,APOBEC3B;ARID2;CDADC1;EZH2;MAP1LC3B;TESPA1;TFDP1;ZBTB39,0.9034079290620468,0.8871337417935122,False
45.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,14,8,0.085347011,5,5,4,14,8,5.714285714285714,APC;CARM1;CCDC6;CDK5RAP3;GPR63;GSTCD;HEATR3;INTS12,0.9961419318178818,0.9131941457741336,False
102.0,unknown,Dolichol-linked oligosaccharide biosynthetic process,Stim48hr,10,10,0.337195329,0,0,10,10,10,5.1,ACOT7;ALG6;ALG8;CEPT1;ENTR1;MICOS10;MRC2;MTCH2,0.9166837712060996,0.91800659733612,False
37.0,CoA metabolism,Coenzyme A biosynthesis,Rest_Stim8hr,17,9,0.209120842,5,9,3,17,9,5.705882352941177,ACLY;BRD8;EPC1;KIF20A;PPCDC;PPCS;ZCRB1;ZRSR2,1.0614427641155346,0.936715695054094,False
6.0,unknown,Sin3 complex,across_condition,13,6,0.264729993,4,6,3,13,6,5.3076923076923075,GATAD1;PHF12;PIM1;SIN3B;SLF1;UBR4,1.3347063547071325,0.9385610358644358,False
41.0,protein glycosylation,"Glycosylation and related congenital defects, and Synthesis of GDP-mannose",across_condition,87,52,0.210009612,25,46,16,87,52,5.482758620689655,DDRGK1;DEGS1;MIA2;P4HB;TGDS;TMED10;UFM1;XRRA1,0.8410425730123802,0.9464319058785646,False
99.0,TCR signaling,"Alpha-beta T cell receptor complex, and Pneumocystosis",Stim48hr,195,195,0.274746976,0,0,195,195,195,5.225641025641026,CD247;EP300;EWSR1;ITK;NUDCD1;NUP37;PLCG1;TMX1,1.1978196174537596,0.9749153005186844,False
33.0,elongator complex,tRNA wobble uridine modification,across_condition,31,13,0.283667524,11,13,7,31,13,5.612903225806452,CTU2;DPM1;ELP1;ELP2;ELP3;ELP5;KTI12;URM1,1.0335358950276998,0.9753820096696276,False
101.0,unknown,"Morc, S5 domain 2-like, and Protein localization to heterochromatin",Rest,58,58,0.355402219,58,0,0,58,58,5.0344827586206895,CCL5;CYB561D2;EWSR1;MAEA;MED15;TRIP12;TSC1;TSC2,0.9815172487392618,0.981605152999613,False
2.0,Ino80 complex,Ino80 complex,across_condition,29,11,0.243528342,9,10,10,29,11,5.0344827586206895,ACTR5;ACTR8;INO80;INO80B;INO80C;NFRKB;RO60;UCHL5,0.6178156750042831,0.9961846186563286,False
24.0,unknown,"Exosome (RNase complex), and TRAMP complex",across_condition,13,7,0.2130993,3,6,4,13,7,5.461538461538462,GPAA1;THAP2;ZC3H3;ZCCHC8;ZDHHC3;ZFC3H1;ZNF330,0.6178156750042831,1.0,False
0.0,Integrator complex,Integrator complex,across_condition,20,7,0.398472198,6,7,7,20,7,5.05,EBF3;FGFR1OP2;INTS10;INTS13;INTS14;INTS15;SLC24A1,0.5866465284717823,1.0,False
17.0,genome defense,"Fibronectin-III type domain, and ARF7 effector protein, C-terminal",across_condition,14,5,0.238202126,5,4,5,14,5,5.5,ATF7IP2;SETDB1;UBE2I;UBR1;ZNF274,0.6639733501139057,1.0,False
68.0,tRNA processing,"tRNA methylation, and MafB19-like deaminase",across_condition,22,22,0.310515931,0,22,0,22,22,4.909090909090909,ADAT2;APEX1;EIF1;FAM98B;LAGE3;METTL1;RTRAF;TRMT61A,0.8709578258023074,1.0,False
1.0,RFX1/FOXN2 complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,6,2,0.333651754,2,2,2,6,2,6.333333333333333,FOXN2;RFX1,,,False
3.0,"STAG2-PAXIP1/PAGR1, genome stability",MLL3/4 complex,across_condition,9,3,0.317833529,3,3,3,9,3,6.222222222222222,PAGR1;PAXIP1;STAG2,,,False
4.0,unknown,Sin3 complex,across_condition,6,2,0.371634235,2,2,2,6,2,5.166666666666667,BRMS1;SAP130,,,False
5.0,MCTS1/DENR complex,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",across_condition,6,2,0.427679133,2,2,2,6,2,7.0,DENR;MCTS1,,,False
11.0,TAF11/13 complex,"mixed, incl. Spermine transport, and protein-DNA complex remodeling",across_condition,4,2,0.457618452,2,2,0,4,2,6.25,TAF11;TAF13,,,False
12.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,2,0.263314979,2,2,0,4,2,6.0,PKNOX1;SP2,,,False
13.0,CHD4/MTA2 complex,NuRD complex,across_condition,6,2,0.319351943,2,2,2,6,2,7.5,CHD4;MTA2,,,False
14.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,4,0.268350391,0,4,0,4,4,4.25,COX10;GDF9;MRPL49;SLC31A1,,,False
16.0,DCP2/DDX6 complex,mRNA decay by 5 to 3 exoribonuclease,across_condition,6,2,0.296368703,2,2,2,6,2,5.833333333333333,DCP2;DDX6,,,False
18.0,share bidirectional promoter,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,5,2,0.356752662,1,2,2,5,2,5.4,CBX5;HNRNPA1,,,False
20.0,PAF1 complex,"Transcription elongation factor complex, and RNA polymerase II, core complex",across_condition,8,3,0.290110736,2,3,3,8,3,5.875,CDK13;LEO1;SKIC8,,,False
23.0,RNA exosome,Nuclear exosome (RNase complex),across_condition,4,4,0.257624778,0,4,0,4,4,4.5,BCKDHA;C1D;EXOSC1;FAM161A,,,False
29.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.182569866,4,0,0,4,4,4.25,ARIH1;CYLD;N6AMT1;PPP6C,,,False
40.0,Protein phosphatase inhibitor 2,"Protein phosphatase inhibitor 2 (IPP-2), and Myosin VI binding",across_condition,6,4,0.204147814,1,1,4,6,4,5.166666666666667,CCNK;CCNQ;PPP1R11;PPP1R7,,,False
43.0,CFAP20/CLASRP complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,2,0.238000878,2,2,0,4,2,5.5,CFAP20;CLASRP,,,False
47.0,CtBP core complex,"C-terminal binding protein, and Hypoxia-mediated EMT and stemness",across_condition,10,4,0.342530477,4,3,3,10,4,5.5,CTBP1;KDM1A;RCOR1;ZEB1,,,False
49.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.161703787,4,0,0,4,4,5.0,PDCL;RANBP3;SRD5A1;VPS41,,,False
52.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,4,0.257228975,4,0,0,4,4,4.75,ALDH18A1;OXA1L;SLC7A11;SSB,,,False
53.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim8hr,4,4,0.140687233,0,4,0,4,4,4.5,NMT2;PCBP1;SEC14L1;UNCX,,,False
55.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,5,3,0.068088172,2,1,2,5,3,6.6,ACTB;SETD1B;ZC3H4,,,False
56.0,CSDE1/STRAP complex,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,2,0.329317143,1,2,1,4,2,7.75,CSDE1;STRAP,,,False
57.0,unknown,"Organellar large ribosomal subunit, and Organellar small ribosomal subunit",Stim48hr,4,4,0.23287042,0,0,4,4,4,3.75,MIGA2;MRPL19;MRPL32;SLC5A3,,,False
62.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,4,4,0.370397895,4,0,0,4,4,5.25,KPNA1;PRKAR1A;SIK3;STK11,,,False
65.0,EHMT1/EHMT2 complex,"Histone-lysine N-methyltransferase EHMT1/EHMT2, and crotonyl-CoA hydratase activity",across_condition,4,4,0.35643976,0,0,4,4,4,7.0,EHMT1;EHMT2;WIZ;ZNF644,,,False
66.0,EHMT1/EHMT2 complex,"Histone-lysine N-methyltransferase EHMT1/EHMT2, and crotonyl-CoA hydratase activity",across_condition,7,4,0.387326401,3,4,0,7,4,6.428571428571429,EHMT1;EHMT2;WIZ;ZNF644,,,False
70.0,CCR4-NOT and EIF3K,CCR4-NOT complex,across_condition,4,3,0.178357303,2,2,0,4,3,4.75,CNOT10;CNOT11;EIF3K,,,False
71.0,XBP1/ERN1 and ZC3H12A,"Photodynamic therapy-induced unfolded protein response, and IRE1-TRAF2-ASK1 complex",across_condition,7,3,0.242382169,2,3,2,7,3,6.285714285714286,ERN1;XBP1;ZC3H12A,,,False
72.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.18615487,4,0,0,4,4,5.25,BRD7;CCAR1;EIF3L;RTTN,,,False
73.0,translation initiation,"Eukaryotic 43S preinitiation complex, and Eukaryotic translation initiation factor 4F complex",across_condition,7,3,0.11787132,2,3,2,7,3,5.571428571428571,EIF3H;EIF4A1;PRRC2A,,,False
75.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.247670787,4,0,0,4,4,4.75,ENO3;PTPA;RASA2;UGDH,,,False
81.0,core BAF subunits,npBAF complex,across_condition,10,4,0.319798849,2,4,4,10,4,6.1,SMARCA4;SMARCB1;SMARCC1;SMARCE1,,,False
92.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.261328198,4,0,0,4,4,4.75,CHURC1;COG5;METAP2;RWDD2A,,,False
103.0,unknown,"mixed, incl. Fatty acid metabolism, and Regulation of lipid storage",Stim48hr,4,4,0.316033676,0,0,4,4,4,5.75,ACACA;CCDC90B;FAM136A;HACD2,,,False
104.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,4,4,0.363111765,4,0,0,4,4,4.5,IMMT;PPP1R13L;SMAD7;TMEM45B,,,False
108.0,mTORC signaling,"TOR complex, and Tetratricopeptide repeat",across_condition,4,4,0.291124482,0,0,4,4,4,5.5,MAPKAP1;MLST8;PDPK1;RICTOR,,,False
