,target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr
51,TXNRD2,0.6066958164314955,0.0,0.03075253351938013,0.005009568196852973,-0.010220903360708676,K562 vs CD4+T (Rest),Rest,,7.0,6.0,7.0,7.0
52,EID2,0.6064872074868415,0.0,0.03538523355485178,0.0033429658313375212,0.03597302525037129,K562 vs CD4+T (Rest),Rest,-0.0235983518586625,3.0,84.0,98.0,90.0
53,TMEM131,0.6063271237868366,0.0,0.026516111809218628,-0.005281430550969233,0.006837284978188588,K562 vs CD4+T (Rest),Rest,0.5985323887446977,43.0,99.0,100.0,85.0
54,RFX1,0.6057956592238812,0.0,0.014100076015038694,0.01124002423359851,0.03636610735793987,K562 vs CD4+T (Rest),Rest,0.6543506882348338,21.0,180.0,176.0,182.0
55,CREBBP,0.6007853890982346,0.0,0.03659259330503277,-0.022447213211651662,-0.07237626352815094,K562 vs CD4+T (Rest),Rest,0.5371945634735814,17.0,803.0,843.0,996.0
56,SUPT7L,0.6004741357943213,0.0,0.04821152366296362,0.017066541945255836,0.051735998144882375,K562 vs CD4+T (Rest),Rest,0.3329535691993171,22.0,1724.0,1680.0,1926.0
57,THAP11,0.5972733498823111,0.0,-0.04857121393675922,-0.014737528250056652,-0.015107674654193347,K562 vs CD4+T (Rest),Rest,0.2417022946586825,87.0,519.0,449.0,528.0
58,INO80B,0.5963348380157847,0.0,0.022456102638047058,0.05406965747580009,0.023409437488825624,K562 vs CD4+T (Rest),Rest,0.2882820805638885,35.0,153.0,138.0,172.0
59,STRAP,0.5929821981783019,0.0,-0.0036587909162613275,0.017601598927599896,0.03807804647350865,K562 vs CD4+T (Rest),Rest,0.5589025031811211,111.0,668.0,596.0,637.0
60,MTA2,0.5918603860761011,0.0,-0.04334826427315502,-0.02039974376831398,0.04958178760520661,K562 vs CD4+T (Rest),Rest,0.6032549163561712,6.0,552.0,515.0,581.0
