,variable,gene_name,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ENSG00000185278,ENSG00000185278,ZBTB37,1.98711488733836,0.0434257126640927,0.0143547552588996,3.025179592467776,0.0024848553042666,0.017598107682941,age_bin (Yaza2022 Discovery),3.025179592467786
ENSG00000135870,ENSG00000135870,RC3H1,6.377346297713364,0.0017568342658828,0.0089796317314925,0.1956465831133617,0.8448867967520759,0.9115628330683552,age_bin (Yaza2022 Discovery),0.19564658311335864
ENSG00000236535,ENSG00000236535,RC3H1-IT1,0.1777867743103827,0.0521744796582966,0.0479068908468999,1.0890808970474617,0.2761182131366889,1.0,age_bin (Yaza2022 Discovery),1.0890808970474624
ENSG00000227373,ENSG00000227373,RABGAP1L-DT,0.2721759504824129,0.0897730740921296,0.0409201829653199,2.1938580814316664,0.0282456137561231,0.1004830276317828,age_bin (Yaza2022 Discovery),2.1938580814316695
ENSG00000152061,ENSG00000152061,RABGAP1L,8.192399535898703,0.0072635589559726,0.0088621062608589,0.8196199348289828,0.4124328057167495,0.5941423317136943,age_bin (Yaza2022 Discovery),0.8196199348289724
ENSG00000223525,ENSG00000223525,RABGAP1L-IT1,0.4227806065450667,0.0534925796863197,0.0349567203728591,1.5302516687993448,0.1259544464551336,0.2797182440916322,age_bin (Yaza2022 Discovery),1.530251668799345
ENSG00000287697,ENSG00000287697,RP1-102G20.8,3.39683625213609,-0.0045814335780146,0.0129546745132465,-0.3536509985897333,0.723600449686286,0.8349742789504392,age_bin (Yaza2022 Discovery),-0.3536509985897339
ENSG00000235750,ENSG00000235750,KIAA0040,5.353114218356383,0.0511015205804299,0.0116887343827001,4.371860879657119,1.23192017803981e-05,0.0002370955258373,age_bin (Yaza2022 Discovery),4.371860879657139
ENSG00000236021,ENSG00000236021,RP11-195C7.1,0.0966115698302993,0.0786403070472731,0.0595978495415626,1.319515849182286,0.1869967150542627,1.0,age_bin (Yaza2022 Discovery),1.319515849182286
ENSG00000116191,ENSG00000116191,RALGPS2,1.3307597114692904,-0.0124503545562415,0.0168835775587912,-0.7374239560832144,0.4608645716191991,0.6341852261968656,age_bin (Yaza2022 Discovery),-0.7374239560832092
ENSG00000143322,ENSG00000143322,ABL2,3.508705186336908,0.0168068580006219,0.0113017212822403,1.4871060417170725,0.1369868060922032,0.2937567321505139,age_bin (Yaza2022 Discovery),1.4871060417170663
ENSG00000057252,ENSG00000057252,SOAT1,3.0325800853390183,0.0411594587731707,0.0125581311358895,3.277514649894236,0.0010472529594214,0.0090196128992369,age_bin (Yaza2022 Discovery),3.2775146498942296
ENSG00000169905,ENSG00000169905,TOR1AIP2,7.136897697037184,0.0095591069687797,0.0085240943648309,1.1214220021095902,0.2621082750273484,0.4468816480347916,age_bin (Yaza2022 Discovery),1.121422002109585
ENSG00000272906,ENSG00000272906,RP11-533E19.7,0.462045372866362,0.0014627829104262,0.0292958484450473,0.0499314062594957,0.960177049933846,0.9783569578981024,age_bin (Yaza2022 Discovery),0.04993140625949324
ENSG00000260360,ENSG00000260360,RP11-533E19.5,1.1945166451192262,0.003951072386308,0.0215385493655566,0.1834418984885963,0.8544513033551119,0.9178053572616848,age_bin (Yaza2022 Discovery),0.1834418984885938
ENSG00000135837,ENSG00000135837,CEP350,7.12171232737341,0.0151847795735637,0.008504005270699,1.7856032646032978,0.0741635179516001,0.1956314589987727,age_bin (Yaza2022 Discovery),1.7856032646032878
ENSG00000143324,ENSG00000143324,XPR1,1.111014528690584,0.0136076515333252,0.0194877695381879,0.6982662385584929,0.485010708857497,0.6525441621473203,age_bin (Yaza2022 Discovery),0.6982662385584907
ENSG00000135823,ENSG00000135823,STX6,1.3910242921856644,-0.0033475407239734,0.0182596059933485,-0.1833303919697345,0.8545387891522741,0.9178053572616848,age_bin (Yaza2022 Discovery),-0.18333039196972936
ENSG00000153029,ENSG00000153029,MR1,2.3872155442613763,0.0281204035654716,0.0135930535296631,2.0687333794504954,0.0385711130793064,0.1250047312646952,age_bin (Yaza2022 Discovery),2.068733379450508
ENSG00000162783,ENSG00000162783,IER5,5.259720733114328,0.0196629758178537,0.0157745351705983,1.246501123817764,0.2125804768840143,0.3909604341662223,age_bin (Yaza2022 Discovery),1.246501123817769
ENSG00000135821,ENSG00000135821,GLUL,5.120935616261118,0.0264777859012527,0.0120468683751589,2.197897833419587,0.0279563873411618,0.0998324246176992,age_bin (Yaza2022 Discovery),2.197897833419588
ENSG00000135828,ENSG00000135828,RNASEL,1.0265800295678502,0.0689028194175613,0.0200629921825866,3.434324192049696,0.0005940332721003,0.0056334715165703,age_bin (Yaza2022 Discovery),3.434324192049706
ENSG00000143333,ENSG00000143333,RGS16,1.229492278275537,0.1270819784290384,0.0264232447284844,4.809476645842936,1.513259740855605e-06,3.782701642156511e-05,age_bin (Yaza2022 Discovery),4.809476645842944
ENSG00000287808,ENSG00000287808,RP11-249O6.2,0.335386739593888,-0.0225961524267093,0.0320012383477644,-0.7061024383229174,0.4801244354887893,0.6489475852575238,age_bin (Yaza2022 Discovery),-0.7061024383229176
ENSG00000135829,ENSG00000135829,DHX9,7.651892057312613,0.0064687581263361,0.0080124895242313,0.8073343630307818,0.4194738713950057,0.6007008032909157,age_bin (Yaza2022 Discovery),0.8073343630307832
ENSG00000116698,ENSG00000116698,SMG7,2.5695935860814467,0.0216786922527481,0.0133011061400237,1.6298413097776705,0.1031350404429159,0.2447031611070476,age_bin (Yaza2022 Discovery),1.629841309777675
ENSG00000162704,ENSG00000162704,ARPC5,39.17056243369461,0.0007465215844661,0.0053416270687144,0.1397554668012123,0.888853200225224,0.9379194066070834,age_bin (Yaza2022 Discovery),0.13975546680119874
ENSG00000143344,ENSG00000143344,RGL1,0.1372321198117994,0.0439609911952803,0.0471406513495344,0.932549507416056,0.3510526138644085,1.0,age_bin (Yaza2022 Discovery),0.932549507416055
ENSG00000116667,ENSG00000116667,C1orf21,1.0729986684803496,0.0717280618747972,0.0288019107219806,2.4903924801092066,0.0127602097965836,0.0575606046830406,age_bin (Yaza2022 Discovery),2.490392480109206
ENSG00000116406,ENSG00000116406,EDEM3,2.753512675878716,0.0110034562194405,0.012894108569746,0.8533708367601646,0.3934536887009184,0.5778083440831173,age_bin (Yaza2022 Discovery),0.8533708367601606
ENSG00000135842,ENSG00000135842,NIBAN1,4.6142201758178025,0.0448028497535,0.0159528810278908,2.808448810918241,0.0049780795817101,0.0295156451830662,age_bin (Yaza2022 Discovery),2.8084488109182355
ENSG00000121481,ENSG00000121481,RNF2,3.3712879119874177,0.0250431273255773,0.0120414733070865,2.079739470986432,0.0375494356274006,0.1224951834783777,age_bin (Yaza2022 Discovery),2.0797394709864303
